year,CO2 (ppmv),Temperature,Mean CH4,unc
-604211,,-3.21,,
-603907,,,533.0,
-603557,,-3.47,,
-603353,244.53225161700482,,,
-602884,,-3.51,,
-602512,,,503.0,
-602200,,-3.92,,
-601999,239.14012591458967,,,
-601524,,-4.22,,
-601116,,,526.0,
-600838,,-4.19,,
-600650,237.8582812314746,,,
-600174,,-4.33,,
-599695,,,542.0,
-599537,,-4.23,,
-599305,232.45478922791705,,,
-598841,,-5.18,,
-598281,,,534.0,
-598146,,-4.99,,
-597864,229.38148051861887,,,
-597450,,-5.35,,
-597268,225.97166266475014,,,
-596845,,,544.0,
-596717,,-5.54,,
-596379,219.02228033882918,,,
-595984,,,496.0,
-595942,,-6.42,,
-595853,216.27309709713364,,,
-595324,,,465.0,
-595240,,-6.7,,
-594841,216.4410115698623,,,
-594596,,-6.31,,
-594271,221.21724287329997,,,
-594009,,-5.44,,
-593950,,,448.0,
-593486,232.91795566697328,,,
-593451,,-4.42,,
-593159,,,463.0,
-592913,237.97721461986356,,,
-592871,,-3.89,,
-592512,,,539.0,
-592306,,-4.32,,
-592096,238.1475936125431,,,
-591716,,-4.63,,
-591611,233.1632188953882,,,
-591388,,,510.0,
-591133,,-5.09,,
-590835,229.38667009211042,,,
-590524,,-5.3,,
-590433,225.67880356583396,,,
-590204,,,483.0,
-589912,,-5.68,,
-589351,,-5.92,,
-589069,237.37751240309967,,,
-588866,,-4.99,,
-588538,243.5553025827732,,,
-588430,,,428.0,
-588387,,-3.47,,
-588090,248.10464236577934,,,
-587886,,,480.0,
-587880,,-3.48,,
-587475,250.20456464222792,,,
-587364,,-4.05,,
-586990,246.34602904387208,,,
-586828,,-4.62,,
-586665,,,468.0,
-586329,238.78411585346242,,,
-586255,,-5.18,,
-585938,234.40092907192803,,,
-585670,,-6.11,,
-585596,,,451.0,
-585221,225.9929310765137,,,
-585084,,-6.73,,
-584770,223.95763277250387,,,
-584571,,-6.52,,
-584417,,,470.0,
-584040,,-5.49,,
-583535,,-6.1,,
-583034,,-5.75,,
-582496,,-5.9,,
-582008,210.63901783350494,,,
-581978,,-6.89,,
-581624,206.68125254107684,,,
-581499,,-7.03,,
